Date,ETC_PWR_Building_Total (kW)
2016-12-01 00:00,379.156
2016-12-01 00:15,383.562
2016-12-01 00:30,381.49600000000004
2016-12-01 00:45,384.197
2016-12-01 01:00,380.86899999999997
2016-12-01 01:15,377.327
2016-12-01 01:30,378.558
2016-12-01 01:45,378.798
2016-12-01 02:00,380.567
2016-12-01 02:15,378.603
2016-12-01 02:30,373.876
2016-12-01 02:45,376.59000000000003
2016-12-01 03:00,373.739
2016-12-01 03:15,374.516
2016-12-01 03:30,378.60499999999996
2016-12-01 03:45,373.568
2016-12-01 04:00,372.951
2016-12-01 04:15,373.29
2016-12-01 04:30,375.111
2016-12-01 04:45,374.251
2016-12-01 05:00,378.482
2016-12-01 05:15,379.90700000000004
2016-12-01 05:30,380.97700000000003
2016-12-01 05:45,374.979
2016-12-01 06:00,378.213
2016-12-01 06:15,375.735
2016-12-01 06:30,379.751
2016-12-01 06:45,392.89500000000004
2016-12-01 07:00,388.51200000000006
2016-12-01 07:15,393.85
2016-12-01 07:30,400.861
2016-12-01 07:45,415.53099999999995
2016-12-01 08:00,411.342
2016-12-01 08:15,418.26
2016-12-01 08:30,419.97
2016-12-01 08:45,423.756
2016-12-01 09:00,451.323
2016-12-01 09:15,459.365
2016-12-01 09:30,472.524
2016-12-01 09:45,468.898
2016-12-01 10:00,466.61899999999997
2016-12-01 10:15,468.74
2016-12-01 10:30,486.067
2016-12-01 10:45,487.559
2016-12-01 11:00,502.832
2016-12-01 11:15,477.34000000000003
2016-12-01 11:30,483.562
2016-12-01 11:45,473.188
2016-12-01 12:00,480.378
2016-12-01 12:15,464.33500000000004
2016-12-01 12:30,473.197
2016-12-01 12:45,485.27
2016-12-01 13:00,498.54200000000003
2016-12-01 13:15,485.226
2016-12-01 13:30,485.301
2016-12-01 13:45,489.394
2016-12-01 14:00,485.275
2016-12-01 14:15,488.183
2016-12-01 14:30,485.366
2016-12-01 14:45,482.159
2016-12-01 15:00,482.571
2016-12-01 15:15,483.696
2016-12-01 15:30,477.671
2016-12-01 15:45,486.53599999999994
2016-12-01 16:00,485.55600000000004
2016-12-01 16:15,485.759
2016-12-01 16:30,496.042
2016-12-01 16:45,486.027
2016-12-01 17:00,481.72900000000004
2016-12-01 17:15,471.70099999999996
2016-12-01 17:30,470.384
2016-12-01 17:45,452.16100000000006
2016-12-01 18:00,427.815
2016-12-01 18:15,423.798
2016-12-01 18:30,419.875
2016-12-01 18:45,417.164
2016-12-01 19:00,422.584
2016-12-01 19:15,410.68600000000004
2016-12-01 19:30,403.43699999999995
2016-12-01 19:45,409.365
2016-12-01 20:00,406.106
2016-12-01 20:15,394.58299999999997
2016-12-01 20:30,392.025
2016-12-01 20:45,389.561
2016-12-01 21:00,392.823
2016-12-01 21:15,391.412
2016-12-01 21:30,393.396
2016-12-01 21:45,390.988
2016-12-01 22:00,398.367
2016-12-01 22:15,394.00899999999996
2016-12-01 22:30,385.205
2016-12-01 22:45,382.811
2016-12-01 23:00,382.981
2016-12-01 23:15,383.204
2016-12-01 23:30,381.947
2016-12-01 23:45,386.491
2016-12-02 00:00,385.472
2016-12-02 00:15,396.638
2016-12-02 00:30,377.683
2016-12-02 00:45,378.661
2016-12-02 01:00,378.764
2016-12-02 01:15,378.62800000000004
2016-12-02 01:30,378.007
2016-12-02 01:45,378.941
2016-12-02 02:00,378.927
2016-12-02 02:15,377.994
2016-12-02 02:30,376.28499999999997
2016-12-02 02:45,371.706
2016-12-02 03:00,372.562
2016-12-02 03:15,374.339
2016-12-02 03:30,368.087
2016-12-02 03:45,370.99299999999994
2016-12-02 04:00,376.123
2016-12-02 04:15,372.75800000000004
2016-12-02 04:30,374.067
2016-12-02 04:45,376.105
2016-12-02 05:00,374.32
2016-12-02 05:15,378.911
2016-12-02 05:30,375.548
2016-12-02 05:45,367.509
2016-12-02 06:00,375.81500000000005
2016-12-02 06:15,376.954
2016-12-02 06:30,380.20300000000003
2016-12-02 06:45,391.643
2016-12-02 07:00,396.577
2016-12-02 07:15,404.73499999999996
2016-12-02 07:30,404.647
