Date,BAR_KWH_Main_Electric (kWh),BAR_PWR_Main_Electric (kW)
2017-12-01 00:00,19.007999999448657,76.032
2017-12-01 00:15,38.01600000075996,76.032
2017-12-01 00:30,57.024000000208616,76.032
2017-12-01 00:45,76.03199999965727,76.032
2017-12-01 01:00,95.04000000096858,76.032
2017-12-01 01:15,114.04800000041723,76.032
2017-12-01 01:30,133.0559999998659,76.032
2017-12-01 01:45,153.79199999943376,82.944
2017-12-01 02:00,172.80000000074506,76.032
2017-12-01 02:15,191.80800000019372,76.032
2017-12-01 02:30,210.81599999964237,76.032
2017-12-01 02:45,229.82400000095367,76.032
2017-12-01 03:00,250.56000000052154,82.944
2017-12-01 03:15,269.5679999999702,76.032
2017-12-01 03:30,288.57599999941885,76.032
2017-12-01 03:45,307.58400000073016,76.032
2017-12-01 04:00,328.320000000298,82.944
2017-12-01 04:15,349.0559999998659,82.944
2017-12-01 04:30,368.06399999931455,76.032
2017-12-01 04:45,388.80000000074506,82.944
2017-12-01 05:00,409.5360000003129,82.944
2017-12-01 05:15,430.2719999998808,82.944
2017-12-01 05:30,451.00799999944866,82.944
2017-12-01 05:45,471.74400000087917,82.944
2017-12-01 06:00,490.7520000003278,76.032
2017-12-01 06:15,511.4879999998957,82.944
2017-12-01 06:30,532.2239999994636,82.944
2017-12-01 06:45,552.9600000008941,82.944
2017-12-01 07:00,594.4320000000298,165.888
2017-12-01 07:15,634.176000000909,158.976
2017-12-01 07:30,673.9199999999255,158.976
2017-12-01 07:45,717.1200000010431,172.8
2017-12-01 08:00,758.5920000001788,165.888
2017-12-01 08:15,803.519999999553,179.712
2017-12-01 08:30,848.4480000007898,179.712
2017-12-01 08:45,893.3760000001639,179.712
2017-12-01 09:00,940.0319999996573,186.624
2017-12-01 09:15,986.6880000010133,186.624
2017-12-01 09:30,1033.3440000005066,186.624
2017-12-01 09:45,1083.4560000002384,200.448
2017-12-01 10:00,1133.5679999999702,200.448
2017-12-01 10:15,1183.679999999702,200.448
2017-12-01 10:30,1235.519999999553,207.36
2017-12-01 10:45,1285.6319999992847,200.448
2017-12-01 11:00,1337.4720000009984,207.36
2017-12-01 11:15,1389.3120000008494,207.36
2017-12-01 11:30,1441.1520000007004,207.36
2017-12-01 11:45,1491.2640000004321,200.448
2017-12-01 12:00,1544.8320000004023,214.272
2017-12-01 12:15,1596.6720000002533,207.36
2017-12-01 12:30,1646.783999999985,200.448
2017-12-01 12:45,1698.623999999836,207.36
2017-12-01 13:00,1752.1919999998063,214.272
2017-12-01 13:15,1804.0319999996573,207.36
2017-12-01 13:30,1857.5999999996275,214.272
2017-12-01 13:45,1911.1679999995977,214.272
2017-12-01 14:00,1963.0079999994487,207.36
2017-12-01 14:15,2016.5759999994189,214.272
2017-12-01 14:30,2070.143999999389,214.272
2017-12-01 14:45,2123.7119999993593,214.272
2017-12-01 15:00,2175.552000001073,207.36
2017-12-01 15:15,2229.120000001043,214.272
2017-12-01 15:30,2280.960000000894,207.36
2017-12-01 15:45,2329.3440000005066,193.536
2017-12-01 16:00,2381.1840000003576,207.36
2017-12-01 16:15,2431.2960000000894,200.448
2017-12-01 16:30,2481.407999999821,200.448
2017-12-01 16:45,2531.519999999553,200.448
2017-12-01 17:00,2579.904000001028,193.536
2017-12-01 17:15,2628.2880000006407,193.536
2017-12-01 17:30,2676.6720000002533,193.536
2017-12-01 17:45,2723.3279999997467,186.624
2017-12-01 18:00,2768.2560000009835,179.712
2017-12-01 18:15,2814.912000000477,186.624
2017-12-01 18:30,2859.839999999851,179.712
2017-12-01 18:45,2904.768000001088,179.712
2017-12-01 19:00,2947.9680000003427,172.8
2017-12-01 19:15,2992.895999999717,179.712
2017-12-01 19:30,3036.0960000008345,172.8
2017-12-01 19:45,3081.0240000002086,179.712
2017-12-01 20:00,3122.4959999993443,165.888
2017-12-01 20:15,3165.696000000462,172.8
2017-12-01 20:30,3207.1679999995977,165.888
2017-12-01 20:45,3248.640000000596,165.888
2017-12-01 21:00,3288.3839999996126,158.976
2017-12-01 21:15,3329.856000000611,165.888
2017-12-01 21:30,3369.5999999996275,158.976
2017-12-01 21:45,3409.3440000005066,158.976
2017-12-01 22:00,3431.8080000001937,89.856
2017-12-01 22:15,3452.5439999997616,82.944
2017-12-01 22:30,3471.552000001073,76.032
2017-12-01 22:45,3492.2880000006407,82.944
2017-12-01 23:00,3511.2960000000894,76.032
2017-12-01 23:15,3530.303999999538,76.032
2017-12-01 23:30,3551.0400000009686,82.944
2017-12-01 23:45,3568.320000000298,69.12
2017-12-02 00:00,3587.3279999997467,76.032
2017-12-02 00:15,3606.336000001058,76.032
2017-12-02 00:30,3625.3440000005066,76.032
2017-12-02 00:45,3642.623999999836,69.12
2017-12-02 01:00,3661.6319999992847,76.032
2017-12-02 01:15,3680.640000000596,76.032
2017-12-02 01:30,3699.6480000000447,76.032
2017-12-02 01:45,3716.927999999374,69.12
2017-12-02 02:00,3735.9360000006855,76.032
2017-12-02 02:15,3754.944000000134,76.032
2017-12-02 02:30,3773.9519999995828,76.032
2017-12-02 02:45,3791.232000000775,69.12
2017-12-02 03:00,3810.2400000002235,76.032
2017-12-02 03:15,3829.247999999672,76.032
2017-12-02 03:30,3846.5280000008643,69.12
2017-12-02 03:45,3865.536000000313,76.032
2017-12-02 04:00,3882.8159999996424,69.12
2017-12-02 04:15,3901.8240000009537,76.032
2017-12-02 04:30,3920.8320000004023,76.032
2017-12-02 04:45,3938.111999999732,69.12
2017-12-02 05:00,3957.120000001043,76.032
2017-12-02 05:15,3974.4000000003725,69.12
2017-12-02 05:30,3993.407999999821,76.032
2017-12-02 05:45,4012.41599999927,76.032
2017-12-02 06:00,4029.696000000462,69.12
2017-12-02 06:15,4048.7039999999106,76.032
2017-12-02 06:30,4067.7119999993593,76.032
2017-12-02 06:45,4086.7200000006706,76.032
2017-12-02 07:00,4123.007999999449,145.152
2017-12-02 07:15,4161.024000000209,152.064
2017-12-02 07:30,4199.040000000969,152.064
2017-12-02 07:45,4235.327999999747,145.152
2017-12-02 08:00,4273.344000000507,152.064
2017-12-02 08:15,4311.359999999404,152.064
2017-12-02 08:30,4347.648000000045,145.152
2017-12-02 08:45,4385.664000000805,152.064
2017-12-02 09:00,4421.951999999583,145.152
2017-12-02 09:15,4459.968000000343,152.064
2017-12-02 09:30,4497.984000001103,152.064
2017-12-02 09:45,4536.0,152.064
2017-12-02 10:00,4574.01600000076,152.064
2017-12-02 10:15,4613.7599999997765,158.976
2017-12-02 10:30,4651.776000000536,152.064
2017-12-02 10:45,4691.519999999553,158.976
2017-12-02 11:00,4729.536000000313,152.064
2017-12-02 11:15,4769.279999999329,158.976
2017-12-02 11:30,4809.024000000209,158.976
2017-12-02 11:45,4848.768000001088,158.976
2017-12-02 12:00,4890.2400000002235,165.888
2017-12-02 12:15,4929.984000001103,158.976
2017-12-02 12:30,4971.456000000238,165.888
2017-12-02 12:45,5011.199999999255,158.976
2017-12-02 13:00,5052.672000000253,165.888
2017-12-02 13:15,5092.41599999927,158.976
2017-12-02 13:30,5132.160000000149,158.976
2017-12-02 13:45,5171.904000001028,158.976
2017-12-02 14:00,5213.376000000164,165.888
2017-12-02 14:15,5253.120000001043,158.976
2017-12-02 14:30,5292.86400000006,158.976
2017-12-02 14:45,5332.608000000939,158.976
2017-12-02 15:00,5372.351999999955,158.976
2017-12-02 15:15,5412.0960000008345,158.976
2017-12-02 15:30,5453.56799999997,165.888
2017-12-02 15:45,5493.312000000849,158.976
2017-12-02 16:00,5533.055999999866,158.976
2017-12-02 16:15,5572.800000000745,158.976
2017-12-02 16:30,5612.543999999762,158.976
2017-12-02 16:45,5652.288000000641,158.976
2017-12-02 17:00,5693.7599999997765,165.888
2017-12-02 17:15,5733.504000000656,158.976
2017-12-02 17:30,5774.975999999791,165.888
2017-12-02 17:45,5814.720000000671,158.976
2017-12-02 18:00,5856.191999999806,165.888
2017-12-02 18:15,5895.936000000685,158.976
2017-12-02 18:30,5935.679999999702,158.976
2017-12-02 18:45,5977.1520000007,165.888
2017-12-02 19:00,6016.895999999717,158.976
2017-12-02 19:15,6056.640000000596,158.976
2017-12-02 19:30,6096.383999999613,158.976
2017-12-02 19:45,6136.128000000492,158.976
2017-12-02 20:00,6175.871999999508,158.976
2017-12-02 20:15,6213.888000000268,152.064
2017-12-02 20:30,6253.631999999285,158.976
2017-12-02 20:45,6293.376000000164,158.976
2017-12-02 21:00,6333.120000001043,164.789
2017-12-02 21:15,6372.86400000006,158.976
2017-12-02 21:30,6410.88000000082,152.064
2017-12-02 21:45,6448.895999999717,152.064
2017-12-02 22:00,6469.631999999285,82.944
2017-12-02 22:15,6486.912000000477,69.12
2017-12-02 22:30,6505.9199999999255,76.032
2017-12-02 22:45,6524.927999999374,76.032
2017-12-02 23:00,6543.936000000685,76.032
2017-12-02 23:15,6562.944000000134,76.032
2017-12-02 23:30,6580.223999999464,69.12
2017-12-02 23:45,6599.232000000775,76.032
2017-12-03 00:00,6618.2400000002235,76.032
2017-12-03 00:15,6635.519999999553,69.12
2017-12-03 00:30,6654.528000000864,76.032
2017-12-03 00:45,6671.808000000194,69.12
2017-12-03 01:00,6690.815999999642,76.032
2017-12-03 01:15,6708.0960000008345,69.12
2017-12-03 01:30,6727.104000000283,76.032
2017-12-03 01:45,6744.383999999613,69.12
