Date,ETC_PWR_Building_Total (kW)
2017-12-01 00:00,339.914
2017-12-01 00:15,340.164
2017-12-01 00:30,335.15999999999997
2017-12-01 00:45,334.90999999999997
2017-12-01 01:00,336.214
2017-12-01 01:15,329.539
2017-12-01 01:30,327.267
2017-12-01 01:45,331.375
2017-12-01 02:00,336.354
2017-12-01 02:15,334.86199999999997
2017-12-01 02:30,327.44100000000003
2017-12-01 02:45,326.129
2017-12-01 03:00,326.395
2017-12-01 03:15,327.588
2017-12-01 03:30,329.63800000000003
2017-12-01 03:45,325.666
2017-12-01 04:00,327.702
2017-12-01 04:15,329.757
2017-12-01 04:30,331.741
2017-12-01 04:45,328.852
2017-12-01 05:00,327.6
2017-12-01 05:15,327.088
2017-12-01 05:30,325.247
2017-12-01 05:45,330.366
2017-12-01 06:00,329.999
2017-12-01 06:15,344.281
2017-12-01 06:30,343.762
2017-12-01 06:45,338.483
2017-12-01 07:00,342.236
2017-12-01 07:15,352.866
2017-12-01 07:30,362.955
2017-12-01 07:45,356.466
2017-12-01 08:00,369.012
2017-12-01 08:15,377.725
2017-12-01 08:30,382.786
2017-12-01 08:45,384.879
2017-12-01 09:00,414.80576914539404
2017-12-01 09:15,441.55400000000003
2017-12-01 09:30,440.425
2017-12-01 09:45,443.16
2017-12-01 10:00,454.662
2017-12-01 10:15,442.98299999999995
2017-12-01 10:30,446.99299999999994
2017-12-01 10:45,438.364
2017-12-01 11:00,449.50699999999995
2017-12-01 11:15,465.33399999999995
2017-12-01 11:30,458.754
2017-12-01 11:45,438.96500000000003
2017-12-01 12:00,443.942
2017-12-01 12:15,450.34000000000003
2017-12-01 12:30,448.461
2017-12-01 12:45,432.51099999999997
2017-12-01 13:00,444.164
2017-12-01 13:15,444.932
2017-12-01 13:30,447.616
2017-12-01 13:45,436.827
2017-12-01 14:00,435.559
2017-12-01 14:15,443.746
2017-12-01 14:30,423.24
2017-12-01 14:45,422.58500000000004
2017-12-01 15:00,417.916
2017-12-01 15:15,428.399
2017-12-01 15:30,421.868
2017-12-01 15:45,421.527
2017-12-01 16:00,428.448
2017-12-01 16:15,419.52599999999995
2017-12-01 16:30,412.298
2017-12-01 16:45,414.72799999999995
2017-12-01 17:00,402.1554992792842
2017-12-01 17:15,402.05082032650506
2017-12-01 17:30,387.95099999999996
2017-12-01 17:45,402.922
2017-12-01 18:00,378.008
2017-12-01 18:15,359.28999999999996
2017-12-01 18:30,359.032
2017-12-01 18:45,365.238
2017-12-01 19:00,342.902
2017-12-01 19:15,347.652
2017-12-01 19:30,342.13800000000003
2017-12-01 19:45,335.04
2017-12-01 20:00,330.985
2017-12-01 20:15,334.333
2017-12-01 20:30,331.259
2017-12-01 20:45,332.81600000000003
2017-12-01 21:00,330.467
2017-12-01 21:15,329.573
2017-12-01 21:30,327.591
2017-12-01 21:45,328.036
2017-12-01 22:00,326.357
2017-12-01 22:15,328.229
2017-12-01 22:30,324.79
2017-12-01 22:45,322.254
2017-12-01 23:00,324.862
2017-12-01 23:15,321.15700000000004
2017-12-01 23:30,319.783
2017-12-01 23:45,323.15999999999997
2017-12-02 00:00,324.20799999999997
2017-12-02 00:15,322.225
2017-12-02 00:30,320.429
2017-12-02 00:45,320.31399999999996
2017-12-02 01:00,314.831
2017-12-02 01:15,318.103
2017-12-02 01:30,315.679
2017-12-02 01:45,316.163
2017-12-02 02:00,318.767
2017-12-02 02:15,314.895
2017-12-02 02:30,318.546
2017-12-02 02:45,313.947
2017-12-02 03:00,314.154
2017-12-02 03:15,317.998
2017-12-02 03:30,315.713
2017-12-02 03:45,315.349
2017-12-02 04:00,317.69
2017-12-02 04:15,315.56
2017-12-02 04:30,316.56399999999996
2017-12-02 04:45,314.964
2017-12-02 05:00,321.928
2017-12-02 05:15,316.86699999999996
2017-12-02 05:30,313.807
2017-12-02 05:45,318.99
2017-12-02 06:00,316.433
2017-12-02 06:15,317.971
2017-12-02 06:30,319.781
2017-12-02 06:45,317.498
2017-12-02 07:00,320.44
2017-12-02 07:15,318.092
2017-12-02 07:30,316.54200000000003
2017-12-02 07:45,317.324
2017-12-02 08:00,321.539
2017-12-02 08:15,327.58299999999997
2017-12-02 08:30,321.608
2017-12-02 08:45,323.76300000000003
2017-12-02 09:00,324.007
2017-12-02 09:15,326.348
2017-12-02 09:30,326.55
2017-12-02 09:45,327.868
2017-12-02 10:00,329.38800000000003
2017-12-02 10:15,333.969
2017-12-02 10:30,334.149
2017-12-02 10:45,335.485
2017-12-02 11:00,333.637
2017-12-02 11:15,337.264
2017-12-02 11:30,337.772
2017-12-02 11:45,339.40500000000003
2017-12-02 12:00,338.885
2017-12-02 12:15,339.139
2017-12-02 12:30,343.24899999999997
