Date,SPR_PWR_Electric_Meter (kW)
2016-12-01 00:00,69.795
2016-12-01 00:15,67.495
2016-12-01 00:30,70.034
2016-12-01 00:45,68.032
2016-12-01 01:00,64.821
2016-12-01 01:15,64.126
2016-12-01 01:30,64.15
2016-12-01 01:45,63.932
2016-12-01 02:00,64.757
2016-12-01 02:15,67.201
2016-12-01 02:30,66.932
2016-12-01 02:45,65.539
2016-12-01 03:00,64.092
2016-12-01 03:15,68.15
2016-12-01 03:30,71.734
2016-12-01 03:45,68.67
2016-12-01 04:00,71.073
2016-12-01 04:15,70.073
2016-12-01 04:30,68.829
2016-12-01 04:45,65.253
2016-12-01 05:00,65.329
2016-12-01 05:15,67.128
2016-12-01 05:30,64.345
2016-12-01 05:45,64.487
2016-12-01 06:00,81.248
2016-12-01 06:15,78.912
2016-12-01 06:30,82.978
2016-12-01 06:45,82.671
2016-12-01 07:00,92.364
2016-12-01 07:15,101.098
2016-12-01 07:30,99.332
2016-12-01 07:45,105.081
2016-12-01 08:00,106.225
2016-12-01 08:15,125.915
2016-12-01 08:30,111.931
2016-12-01 08:45,121.934
2016-12-01 09:00,124.312
2016-12-01 09:15,128.284
2016-12-01 09:30,127.5
2016-12-01 09:45,139.018
2016-12-01 10:00,126.39
2016-12-01 10:15,126.331
2016-12-01 10:30,136.096
2016-12-01 10:45,130.062
2016-12-01 11:00,131.293
2016-12-01 11:15,129.937
2016-12-01 11:30,121.387
2016-12-01 11:45,126.468
2016-12-01 12:00,120.85
2016-12-01 12:15,139.628
2016-12-01 12:30,121.337
2016-12-01 12:45,141.403
2016-12-01 13:00,129.412
2016-12-01 13:15,125.603
2016-12-01 13:30,128.512
2016-12-01 13:45,123.0
2016-12-01 14:00,127.6
2016-12-01 14:15,126.693
2016-12-01 14:30,131.056
2016-12-01 14:45,125.981
2016-12-01 15:00,128.256
2016-12-01 15:15,127.631
2016-12-01 15:30,130.056
2016-12-01 15:45,126.8
2016-12-01 16:00,121.359
2016-12-01 16:15,118.681
2016-12-01 16:30,121.156
2016-12-01 16:45,117.4
2016-12-01 17:00,107.05
2016-12-01 17:15,102.409
2016-12-01 17:30,100.856
2016-12-01 17:45,105.537
2016-12-01 18:00,114.781
2016-12-01 18:15,92.935
2016-12-01 18:30,77.246
2016-12-01 18:45,83.334
2016-12-01 19:00,74.251
2016-12-01 19:15,74.096
2016-12-01 19:30,73.075
2016-12-01 19:45,73.496
2016-12-01 20:00,73.023
2016-12-01 20:15,73.957
2016-12-01 20:30,72.626
2016-12-01 20:45,74.978
2016-12-01 21:00,72.356
2016-12-01 21:15,71.525
2016-12-01 21:30,68.887
2016-12-01 21:45,76.246
2016-12-01 22:00,82.409
2016-12-01 22:15,77.896
2016-12-01 22:30,77.929
2016-12-01 22:45,82.178
2016-12-01 23:00,77.718
2016-12-01 23:15,75.243
2016-12-01 23:30,77.546
2016-12-01 23:45,76.178
2016-12-02 00:00,79.456
2016-12-02 00:15,77.457
2016-12-02 00:30,73.187
2016-12-02 00:45,70.604
2016-12-02 01:00,67.084
2016-12-02 01:15,68.096
2016-12-02 01:30,67.684
2016-12-02 01:45,67.5
2016-12-02 02:00,67.218
2016-12-02 02:15,65.765
2016-12-02 02:30,68.485
2016-12-02 02:45,70.164
2016-12-02 03:00,69.903
2016-12-02 03:15,66.206
2016-12-02 03:30,68.437
2016-12-02 03:45,71.367
2016-12-02 04:00,72.771
2016-12-02 04:15,66.407
2016-12-02 04:30,66.534
2016-12-02 04:45,67.284
2016-12-02 05:00,72.553
2016-12-02 05:15,67.348
2016-12-02 05:30,70.223
2016-12-02 05:45,76.107
2016-12-02 06:00,89.16
2016-12-02 06:15,89.542
2016-12-02 06:30,87.614
2016-12-02 06:45,86.592
2016-12-02 07:00,110.609
2016-12-02 07:15,91.076
2016-12-02 07:30,95.585
2016-12-02 07:45,104.425
2016-12-02 08:00,104.515
2016-12-02 08:15,121.618
2016-12-02 08:30,114.24
2016-12-02 08:45,120.146
2016-12-02 09:00,118.025
2016-12-02 09:15,120.937
2016-12-02 09:30,126.0
2016-12-02 09:45,124.078
2016-12-02 10:00,132.668
2016-12-02 10:15,121.887
2016-12-02 10:30,126.156
2016-12-02 10:45,122.153
2016-12-02 11:00,129.39
2016-12-02 11:15,133.343
2016-12-02 11:30,133.221
2016-12-02 11:45,145.159
2016-12-02 12:00,124.956
2016-12-02 12:15,118.509
2016-12-02 12:30,121.368
2016-12-02 12:45,120.575
2016-12-02 13:00,124.462
2016-12-02 13:15,121.193
2016-12-02 13:30,126.887
2016-12-02 13:45,128.193
2016-12-02 14:00,129.559
2016-12-02 14:15,124.756
2016-12-02 14:30,133.618
2016-12-02 14:45,125.003
2016-12-02 15:00,125.981
2016-12-02 15:15,133.071
2016-12-02 15:30,124.634
2016-12-02 15:45,121.096
2016-12-02 16:00,119.425
2016-12-02 16:15,112.259
2016-12-02 16:30,110.968
2016-12-02 16:45,108.103
2016-12-02 17:00,106.34
2016-12-02 17:15,98.415
2016-12-02 17:30,92.959
2016-12-02 17:45,90.459
2016-12-02 18:00,93.675
2016-12-02 18:15,78.3185064935065
2016-12-02 18:30,77.467
2016-12-02 18:45,74.339
2016-12-02 19:00,71.987
2016-12-02 19:15,71.737
2016-12-02 19:30,79.642
2016-12-02 19:45,75.623
2016-12-02 20:00,76.3
2016-12-02 20:15,77.62
2016-12-02 20:30,75.432
2016-12-02 20:45,76.887
2016-12-02 21:00,77.61
2016-12-02 21:15,74.26
2016-12-02 21:30,74.101
2016-12-02 21:45,79.101
2016-12-02 22:00,87.004
2016-12-02 22:15,75.293
2016-12-02 22:30,70.726
2016-12-02 22:45,75.862
2016-12-02 23:00,73.879
2016-12-02 23:15,70.717
2016-12-02 23:30,72.635
2016-12-02 23:45,74.24
2016-12-03 00:00,79.076
2016-12-03 00:15,72.987
2016-12-03 00:30,68.11
2016-12-03 00:45,71.86
2016-12-03 01:00,69.128
2016-12-03 01:15,69.948
2016-12-03 01:30,67.606
2016-12-03 01:45,64.217
2016-12-03 02:00,67.562
2016-12-03 02:15,66.853
2016-12-03 02:30,66.939
2016-12-03 02:45,66.581
2016-12-03 03:00,64.965
2016-12-03 03:15,70.431
2016-12-03 03:30,64.97
2016-12-03 03:45,64.173
2016-12-03 04:00,68.154
2016-12-03 04:15,64.234
2016-12-03 04:30,66.009
2016-12-03 04:45,66.945
2016-12-03 05:00,63.731
2016-12-03 05:15,66.039
2016-12-03 05:30,64.042
2016-12-03 05:45,64.009
2016-12-03 06:00,64.22
2016-12-03 06:15,71.515
2016-12-03 06:30,69.476
2016-12-03 06:45,72.606
2016-12-03 07:00,70.36
2016-12-03 07:15,70.562
2016-12-03 07:30,64.5
2016-12-03 07:45,64.306
2016-12-03 08:00,66.796
2016-12-03 08:15,66.195
2016-12-03 08:30,66.289
2016-12-03 08:45,61.79
2016-12-03 09:00,64.495
2016-12-03 09:15,65.428
2016-12-03 09:30,65.52
2016-12-03 09:45,63.315
2016-12-03 10:00,62.495
2016-12-03 10:15,66.023
2016-12-03 10:30,66.675
2016-12-03 10:45,62.8
2016-12-03 11:00,66.65
2016-12-03 11:15,65.126
2016-12-03 11:30,63.775
2016-12-03 11:45,65.145
2016-12-03 12:00,64.707
2016-12-03 12:15,72.203
2016-12-03 12:30,70.445
2016-12-03 12:45,71.667
2016-12-03 13:00,72.615
2016-12-03 13:15,70.421
2016-12-03 13:30,74.228
2016-12-03 13:45,88.42
2016-12-03 14:00,66.593
2016-12-03 14:15,68.467
2016-12-03 14:30,68.284
2016-12-03 14:45,64.534
2016-12-03 15:00,64.893
2016-12-03 15:15,67.739
