Date,BAR_KWH_Main_Electric (kWh),BAR_PWR_Main_Electric (kW)
2016-12-01 00:00,20.735999999567866,82.944
2016-12-01 00:15,41.47199999913573,82.944
2016-12-01 00:30,60.480000000447035,76.032
2016-12-01 00:45,79.48799999989569,76.032
2016-12-01 01:00,100.22399999946356,82.944
2016-12-01 01:15,119.23199999891222,76.032
2016-12-01 01:30,139.96800000034273,82.944
2016-12-01 01:45,158.97599999979138,76.032
2016-12-01 02:00,179.71199999935925,82.944
2016-12-01 02:15,198.7199999988079,76.032
2016-12-01 02:30,217.7280000001192,76.032
2016-12-01 02:45,238.46399999968708,82.944
2016-12-01 03:00,257.47199999913573,76.032
2016-12-01 03:15,276.48000000044703,76.032
2016-12-01 03:30,297.2160000000149,82.944
2016-12-01 03:45,317.95199999958277,82.944
2016-12-01 04:00,336.9599999990314,76.032
2016-12-01 04:15,357.69600000046194,82.944
2016-12-01 04:30,376.7039999999106,76.032
2016-12-01 04:45,397.43999999947846,82.944
2016-12-01 05:00,419.90399999916553,89.856
2016-12-01 05:15,440.6399999987334,82.944
2016-12-01 05:30,461.3760000001639,82.944
2016-12-01 05:45,482.1119999997318,82.944
2016-12-01 06:00,502.84799999929965,82.944
2016-12-01 06:15,523.5839999988675,82.944
2016-12-01 06:30,544.320000000298,82.944
2016-12-01 06:45,565.0559999998659,82.944
2016-12-01 07:00,603.0719999987632,152.064
2016-12-01 07:15,644.5439999997616,165.888
2016-12-01 07:30,686.0159999988973,165.888
2016-12-01 07:45,729.2160000000149,172.8
2016-12-01 08:00,775.8719999995083,186.624
2016-12-01 08:15,820.7999999988824,179.712
2016-12-01 08:30,867.4560000002384,186.624
2016-12-01 08:45,917.5679999999702,200.448
2016-12-01 09:00,967.679999999702,200.448
2016-12-01 09:15,1021.2479999996722,214.272
2016-12-01 09:30,1074.8159999996424,214.272
2016-12-01 09:45,1131.839999999851,228.096
2016-12-01 10:00,1185.4079999998212,214.272
2016-12-01 10:15,1240.7039999999106,221.184
2016-12-01 10:30,1297.7280000001192,228.096
2016-12-01 10:45,1354.7520000003278,228.096
2016-12-01 11:00,1411.7759999986738,228.096
2016-12-01 11:15,1467.0719999987632,221.184
2016-12-01 11:30,1524.0959999989718,228.096
2016-12-01 11:45,1581.1199999991804,228.096
2016-12-01 12:00,1639.8719999995083,235.008
2016-12-01 12:15,1698.623999999836,235.008
2016-12-01 12:30,1755.6480000000447,228.096
2016-12-01 12:45,1814.4000000003725,235.008
2016-12-01 13:00,1873.1519999988377,235.008
2016-12-01 13:15,1930.1759999990463,228.096
