Date,LAT_PWR_Building_Total (kW),LAT_PWR_Roof_Mech_Electric (kW),LAT_PWR_Building_Total - New + Old meters (kW),LAT_PWR_Building_Total - Old Meters (kW)
2017-01-01 15:45,529.7022222222223,205.00222222222223,529.7022222222223,328.70000000000005
2017-01-01 16:00,538.7,205.00000000000003,538.7,337.7
2017-01-01 16:15,553.2988888888889,205.9988888888889,553.2988888888889,351.3
2017-01-01 16:30,535.5,206.0,535.5,333.5
2017-01-01 16:45,528.5,206.0,528.5,326.5
2017-01-01 17:00,536.8988888888889,206.9988888888889,536.8988888888889,333.9
2017-01-01 17:15,534.6,207.0,534.6,331.6
2017-01-01 17:30,532.3022222222222,205.00222222222223,532.3022222222222,331.3
2017-01-01 17:45,533.6988888888889,205.9988888888889,533.6988888888889,331.7
2017-01-01 18:00,546.6988888888889,206.9988888888889,546.6988888888889,343.7
2017-01-01 18:15,524.4,207.0,524.4,321.4
2017-01-01 18:30,534.5,207.0,534.5,331.5
2017-01-01 18:45,534.7,207.0,534.7,331.7
2017-01-01 19:00,537.9988888888889,207.9988888888889,537.9988888888889,334.0
2017-01-01 19:15,533.6988888888889,208.9988888888889,533.6988888888889,328.7
2017-01-01 19:30,544.8011111111111,208.00111111111113,544.8011111111111,340.8
2017-01-01 19:45,537.7,208.00000000000003,537.7,333.70000000000005
2017-01-01 20:00,532.7,208.00000000000003,532.7,328.7
2017-01-01 20:15,532.401111111111,207.00111111111113,532.401111111111,329.4
2017-01-01 20:30,540.8,207.9988888888889,540.8,337.79999999999995
2017-01-01 20:45,534.5000000000001,207.00111111111113,534.5,331.5
2017-01-01 21:00,542.6,207.0,542.6,339.6
2017-01-01 21:15,533.8,207.0,533.8,330.79999999999995
2017-01-01 21:30,533.8988888888889,207.9988888888889,533.8988888888889,329.9
2017-01-01 21:45,528.0,208.00000000000003,528.0,324.0
2017-01-01 22:00,533.2011111111111,207.00111111111113,533.2011111111111,330.2
2017-01-01 22:15,526.3022222222222,205.00222222222223,526.3022222222222,325.29999999999995
2017-01-01 22:30,526.9,205.00000000000003,526.9,325.9
2017-01-01 22:45,546.1,205.00000000000003,546.1,345.1
2017-01-01 23:00,527.2988888888889,205.9988888888889,527.2988888888889,325.3
2017-01-01 23:15,531.3,206.0,531.3,329.29999999999995
2017-01-01 23:30,527.3,206.0,527.3,325.3
2017-01-01 23:45,533.9,206.0,533.9,331.9
2017-01-02 00:00,528.3011111111111,205.00111111111113,528.3011111111111,327.3
2017-01-02 00:15,533.098888888889,205.9988888888889,533.098888888889,331.1
2017-01-02 00:30,529.0,206.0,529.0,327.0
2017-01-02 00:45,527.5,206.0,527.5,325.5
2017-01-02 01:00,537.3011111111111,205.00111111111113,537.3011111111111,336.3
2017-01-02 01:15,544.2988888888889,205.9988888888889,544.2988888888889,342.29999999999995
2017-01-02 01:30,525.0,206.0,525.0,323.0
2017-01-02 01:45,537.9,206.0,537.9,335.9
2017-01-02 02:00,536.9,206.0,536.9,334.9
2017-01-02 02:15,530.9,206.0,530.9,328.9
2017-01-02 02:30,524.8011111111111,205.00111111111113,524.8011111111111,323.8
2017-01-02 02:45,536.4988888888889,205.9988888888889,536.4988888888889,334.5
2017-01-02 03:00,527.2011111111112,205.00111111111113,527.2011111111112,326.20000000000005
2017-01-02 03:15,524.2,205.00000000000003,524.2,323.20000000000005
2017-01-02 03:30,529.9,205.00000000000003,529.9,328.9
2017-01-02 03:45,528.0,205.00000000000003,528.0,327.0
2017-01-02 04:00,531.7,205.00000000000003,531.7,330.7
2017-01-02 04:15,522.8000000000001,205.00000000000003,522.8000000000001,321.8
2017-01-02 04:30,533.8000000000001,205.00000000000003,533.8000000000001,332.8
2017-01-02 04:45,535.901111111111,204.00111111111113,535.901111111111,335.9
2017-01-02 05:00,533.8988888888889,204.9988888888889,533.8988888888889,332.9
2017-01-02 05:15,546.8011111111111,204.00111111111113,546.8011111111111,346.8
2017-01-02 05:30,528.0011111111111,204.0,528.0011111111112,329.0
2017-01-02 05:45,538.9988888888889,204.0,538.9988888888888,339.0
2017-01-02 06:00,537.6988888888889,204.9988888888889,537.6988888888889,336.7
2017-01-02 06:15,534.7,205.00000000000003,534.7,333.70000000000005
2017-01-02 06:30,527.1,205.00000000000003,527.1,326.1
2017-01-02 06:45,526.7,205.00000000000003,526.7,325.7
2017-01-02 07:00,538.6,205.00000000000003,538.6,337.6
2017-01-02 07:15,527.9,205.00000000000003,527.9,326.9
2017-01-02 07:30,525.9,205.00000000000003,525.9,324.9
2017-01-02 07:45,531.0,205.00000000000003,531.0,330.0
2017-01-02 08:00,534.8988888888889,205.9988888888889,534.8988888888889,332.9
2017-01-02 08:15,536.0,206.0,536.0,334.0
2017-01-02 08:30,537.8977777777777,207.9977777777778,537.8977777777777,333.9
2017-01-02 08:45,537.7988888888889,208.9988888888889,537.7988888888889,332.8
2017-01-02 09:00,547.1977777777778,210.9977777777778,547.1977777777778,340.2
2017-01-02 09:15,535.3000000000001,211.00000000000003,535.3000000000001,328.3
2017-01-02 09:30,546.0966666666667,213.99666666666667,546.0966666666667,336.1
2017-01-02 09:45,558.8,214.0,558.8,348.8
2017-01-02 10:00,543.3966666666666,216.99666666666667,543.3966666666666,330.4
2017-01-02 10:15,550.098888888889,217.9988888888889,550.098888888889,336.1
2017-01-02 10:30,568.2966666666666,220.99666666666667,568.2966666666666,351.3
2017-01-02 10:45,549.5033333333333,218.00333333333336,549.5033333333333,335.5
2017-01-02 11:00,556.2988888888889,218.9988888888889,556.2988888888889,341.29999999999995
2017-01-02 11:15,574.9977777777779,220.9977777777778,574.9977777777779,358.0
2017-01-02 11:30,574.1,221.00000000000003,574.1,357.1
2017-01-02 11:45,565.9988888888889,221.9988888888889,565.9988888888889,348.0
2017-01-02 12:00,555.598888888889,222.9988888888889,555.598888888889,336.6
2017-01-02 12:15,569.2977777777777,224.99777777777777,569.2977777777777,348.29999999999995
2017-01-02 12:30,563.7022222222223,223.00222222222223,563.7022222222223,344.70000000000005
2017-01-02 12:45,566.3988888888889,223.9988888888889,566.3988888888889,346.4
2017-01-02 13:00,565.2,224.00000000000003,565.2,345.2
2017-01-02 13:15,571.1977777777779,225.9977777777778,571.1977777777779,349.20000000000005
2017-01-02 13:30,565.2988888888889,226.9988888888889,565.2988888888889,342.3
2017-01-02 13:45,557.2,227.00000000000003,557.2,334.20000000000005
2017-01-02 14:00,566.2,227.00000000000003,566.2,343.2
2017-01-02 14:15,575.4,227.00000000000003,575.4,352.4
2017-01-02 14:30,576.3988888888889,227.9988888888889,576.3988888888889,352.4
2017-01-02 14:45,580.3011111111111,227.00111111111113,580.3011111111111,357.3
2017-01-02 15:00,567.1011111111111,226.00111111111113,567.1011111111111,345.1
2017-01-02 15:15,555.3,226.0,555.3,333.3
2017-01-02 15:30,558.8977777777777,227.99777777777777,558.8977777777777,334.9
2017-01-02 15:45,575.8011111111111,227.00111111111113,575.8011111111111,352.79999999999995
2017-01-02 16:00,562.4977777777779,228.9977777777778,562.4977777777779,337.5
2017-01-02 16:15,561.6011111111111,228.0011111111111,561.6011111111111,337.6
2017-01-02 16:30,575.9,228.0,575.9,351.9
2017-01-02 16:45,573.6,228.0,573.6,349.6
2017-01-02 17:00,561.8022222222222,226.00222222222223,561.8022222222222,339.8
2017-01-02 17:15,563.4988888888889,226.9988888888889,563.4988888888889,340.5
2017-01-02 17:30,563.9022222222222,225.00222222222223,563.9022222222222,342.9
2017-01-02 17:45,560.9022222222222,223.00222222222223,560.9022222222222,341.9
2017-01-02 18:00,556.2011111111111,222.0011111111111,556.2011111111111,338.20000000000005
2017-01-02 18:15,563.3011111111111,221.00111111111113,563.3011111111111,346.29999999999995
2017-01-02 18:30,551.1033333333334,218.00333333333336,551.1033333333334,337.1
2017-01-02 18:45,553.0,218.0,553.0,339.0
2017-01-02 19:00,558.4,218.0,558.4,344.4
2017-01-02 19:15,562.2011111111111,217.0011111111111,562.2011111111111,349.20000000000005
2017-01-02 19:30,555.4022222222222,215.00222222222223,555.4022222222222,344.4
2017-01-02 19:45,546.3988888888889,215.9988888888889,546.3988888888889,334.4
2017-01-02 20:00,550.2022222222222,214.00222222222223,550.2022222222222,340.2
2017-01-02 20:15,537.3011111111111,213.00111111111113,537.3011111111111,328.3
2017-01-02 20:30,549.6011111111111,212.00111111111113,549.6011111111111,341.6
2017-01-02 20:45,541.8,212.0,541.8,333.79999999999995
2017-01-02 21:00,556.2,212.0,556.2,348.2
2017-01-02 21:15,537.1,212.0,537.1,329.1
2017-01-02 21:30,542.1,212.0,542.1,334.1
2017-01-02 21:45,547.901111111111,211.00111111111113,547.901111111111,340.9
2017-01-02 22:00,536.901111111111,210.00111111111113,536.901111111111,330.9
2017-01-02 22:15,527.6022222222223,208.00222222222223,527.6022222222223,323.6
2017-01-02 22:30,540.8000000000001,208.00000000000003,540.8000000000001,336.8
